pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
232,"TOLAJ A. (SG)
Phoenix Hagen",9,28:36:00,4,0,1,0.00%,1,2,50.00%,1,3,33.30%,1,2,50.00%,5,1,6,1,0,6,0,6,2,-13,0
181,"MAYR D. (C)
FC Bayern München",1,05:59:00,3,1,1,100.00%,0,0,0.00%,1,1,100.00%,1,2,50.00%,0,0,0,0,0,0,1,0,3,6,0
182,"DAUBNER P. (SG)
Mitteldeutscher BC",1,02:39:00,3,0,0,0.00%,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,0,1,0,0,0,0,1,4,4,0
211,"MARTIN J. (PG)
Eisbären Bremerhaven",2,01:54:00,3,0,0,0.00%,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,0,0,0,0,0,3,-1,0
221,"SEIFERTH M. (C)
ALBA BERLIN",2,03:26:00,2,1,1,100.00%,0,0,0.00%,1,1,100.00%,0,0,0.00%,1,0,1,0,0,0,1,1,4,0,0
228,"LODDERS R. (C)
Telekom Baskets Bonn",3,07:53:00,2,1,2,50.00%,0,0,0.00%,1,2,50.00%,0,0,0.00%,1,0,1,0,0,1,0,0,1,-11,0
230,"FERNER J. (SF)
ratiopharm ulm",4,13:40:00,2,1,5,20.00%,0,1,0.00%,1,6,16.70%,0,0,0.00%,1,1,2,0,1,0,1,1,1,9,0
231,"DURANT D. (PG)
medi bayreuth",2,06:38:00,1,0,0,0.00%,0,1,0.00%,0,1,0.00%,1,2,50.00%,1,0,1,1,0,0,0,1,1,-15,0
234,"WOHLRATH K. (SF)
ALBA BERLIN",1,00:23:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0
235,"DAHLEM M. (PG)
TBB Trier",5,07:18:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,1,0,5,0
236,"FRITZEN J. (PF)
TBB Trier",4,02:58:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,1,0,0,0
237,"LEONHARDT E. (PF)
TBB Trier",1,01:34:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-2,0
238,"SPRUNG P. (SF)
BG Göttingen",3,04:06:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,1,0,-3,0
239,"KUTZSCHMAR S. (SG)
MHP RIESEN Ludwigsburg",2,01:52:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,1,0,0,-1,-3,0
240,"BOAKYE N. (PF)
BG Göttingen",7,05:50:00,0,0,1,0.00%,0,1,0.00%,0,2,0.00%,0,0,0.00%,1,0,1,0,0,0,0,3,-1,-4,0
241,"HILLER J. (SG)
WALTER Tigers Tübingen",2,02:28:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-2,0
242,"OLDENBURG T. (PF)
FRAPORT SKYLINERS",1,06:48:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,1,0,0,0,1,-2,0
243,"THIEMANN J. (SF)
Brose Baskets",5,13:55:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,1,0,0,1,1,11,0
244,"KIEL N. (PF)
FRAPORT SKYLINERS",2,03:02:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,1,1,1,-1,0
245,"MUSOVIC A. (PG)
FRAPORT SKYLINERS",1,01:52:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-2,0
