pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
1,"FOGG K. (SG)
Eisbären Bremerhaven",34,1029:19:00,619,102,208,49.00%,80,224,35.70%,182,432,42.10%,175,195,89.70%,94,29,123,113,33,86,2,88,534,-168,3
4,"BELL D. (PG)
Phoenix Hagen",34,1056:39:00,521,67,165,40.60%,72,186,38.70%,139,351,39.60%,171,183,93.40%,90,10,100,194,27,92,0,97,526,-44,3
5,"MORGAN R. (PF)
ratiopharm ulm",34,844:25:00,520,184,321,57.30%,11,28,39.30%,195,349,55.90%,119,160,74.40%,149,78,227,59,25,74,17,105,579,133,5
6,"GRANT K. (SG)
Basketball Löwen Braunschweig",34,1084:09:00,518,112,251,44.60%,64,187,34.20%,176,438,40.20%,102,124,82.30%,98,21,119,81,64,72,5,79,431,-32,0
7,"KAMP H. (PF)
BG Göttingen",34,893:42:00,518,188,307,61.20%,9,32,28.10%,197,339,58.10%,115,144,79.90%,113,64,177,85,27,103,9,104,542,-60,2
2,"QVALE B. (C)
EWE Baskets Oldenburg",33,851:40:00,510,210,328,64.00%,1,1,100.00%,211,329,64.10%,87,118,73.70%,135,72,207,36,23,44,39,95,622,116,5
11,"LANE B. (C)
s.Oliver Baskets",34,834:30:00,487,213,350,60.90%,4,27,14.80%,217,377,57.60%,49,63,77.80%,129,57,186,43,13,72,30,94,513,54,6
12,"ODUM J. (PG)
medi bayreuth",34,1180:17:00,485,131,246,53.30%,31,110,28.20%,162,356,45.50%,130,162,80.30%,118,28,146,192,34,90,8,97,549,-149,2
10,"DUGGINS V. (SG)
EWE Baskets Oldenburg",33,885:00:00,484,128,254,50.40%,37,111,33.30%,165,365,45.20%,117,138,84.80%,95,10,105,115,28,67,2,49,446,125,0
15,"KIKANOVIC E. (C)
ALBA BERLIN",34,853:01:00,476,180,316,57.00%,0,7,0.00%,180,323,55.70%,116,166,69.90%,63,61,124,36,11,41,16,80,429,143,1
14,"GüNTHER P. (PG)
ratiopharm ulm",33,944:17:00,469,70,131,53.40%,67,166,40.40%,137,297,46.10%,128,155,82.60%,58,6,64,173,16,72,2,80,465,170,1
8,"NEEDHAM D. (PG)
Basketball Löwen Braunschweig",31,936:03:00,464,97,183,53.00%,61,172,35.50%,158,355,44.50%,87,106,82.10%,91,18,109,117,47,76,2,85,447,24,0
18,"JEFFERSON B. (PG)
Phoenix Hagen",34,1052:42:00,458,43,125,34.40%,91,250,36.40%,134,375,35.70%,99,119,83.20%,80,18,98,137,39,52,1,74,420,-85,0
9,"THEODORE J. (PG)
FRAPORT SKYLINERS",31,877:48:00,456,105,224,46.90%,44,114,38.60%,149,338,44.10%,114,135,84.40%,81,21,102,144,49,67,0,91,474,251,1
20,"GREEN G. (SG)
WALTER Tigers Tübingen",34,914:38:00,455,113,211,53.60%,48,140,34.30%,161,351,45.90%,85,101,84.20%,89,28,117,45,23,44,5,79,395,-93,0
21,"WHITE A. (PF)
Telekom Baskets Bonn",34,932:16:00,454,131,225,58.20%,25,69,36.20%,156,294,53.10%,117,156,75.00%,138,56,194,39,27,50,10,68,497,-105,2
24,"MASSENAT F. (PG)
Mitteldeutscher BC",34,1072:00:00,447,88,178,49.40%,65,179,36.30%,153,357,42.90%,76,104,73.10%,62,17,79,179,33,74,1,106,433,-184,3
26,"BROCKMAN J. (PF)
MHP RIESEN Ludwigsburg",34,912:40:00,443,173,289,59.90%,0,0,0.00%,173,289,59.90%,97,126,77.00%,178,137,315,19,19,64,4,98,591,75,14
23,"PAULDING R. (SF)
EWE Baskets Oldenburg",33,998:52:00,435,91,154,59.10%,62,152,40.80%,153,306,50.00%,67,90,74.40%,65,35,100,100,26,62,12,71,435,172,0
32,"SMITH J. (PG)
Eisbären Bremerhaven",34,869:13:00,429,114,214,53.30%,36,90,40.00%,150,304,49.30%,93,113,82.30%,85,20,105,112,49,75,10,103,456,-162,0
35,"HORTON K. (SF)
medi bayreuth",34,890:16:00,421,107,175,61.10%,52,148,35.10%,159,323,49.20%,51,57,89.50%,122,40,162,37,35,41,11,76,455,-129,3
17,"BUFORD W. (SG)
WALTER Tigers Tübingen",31,876:52:00,420,112,215,52.10%,45,135,33.30%,157,350,44.90%,61,73,83.60%,119,31,150,53,25,41,4,66,406,-46,3
