pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
4,"WHITE D. (SG)
Phoenix Hagen",11,31:46:00,17.3,3.8,8,47.70%,1.9,4.3,44.70%,5.7,12.3,46.70%,3.9,5.2,75.40%,0.2,2,2.2,5,1.6,2.7,0.1,3,15.6,0.9,0
1,"BROWN B. (PG)
EWE Baskets Oldenburg",34,33:50:00,16.9,3.6,7.1,50.80%,1.9,5.9,32.20%,5.5,13,42.30%,4,5.1,78.70%,0.3,1.9,2.2,4.7,0.7,2.8,0.1,2.3,13.2,-0.2,17
144,"GRAY J. (PG)
FRAPORT SKYLINERS",8,31:45:00,16,2.9,6.9,41.80%,2.1,7.3,29.30%,5,14.1,35.40%,3.9,4.1,93.90%,0.3,2.5,2.8,3.5,0.1,2.8,0.1,3.3,10.4,-5.3,0
2,"TUCKER A. (SF)
Brose Baskets",34,27:55:00,15.6,4.6,7.4,62.10%,0.9,2.1,42.50%,5.5,9.6,57.70%,3.6,4.6,79.40%,1.5,5.5,7,1.5,1.3,1.8,0.3,1.6,18.9,12.6,0
5,"HOLSTON D. (PG)
Artland Dragons",33,31:29:00,15.5,2.6,5.3,48.60%,2,5.6,36.20%,4.6,10.9,42.20%,4.2,4.8,87.50%,0.4,2.9,3.2,5.9,1.4,2.7,0,2.5,16.4,6.5,3
3,"WOOD D. (PG)
ALBA BERLIN",34,31:23:00,15.4,3.1,6.4,49.10%,1.7,4.6,37.60%,4.9,11,44.30%,3.9,4.8,82.70%,0.7,3.2,3.9,4.9,1.2,2.2,0.1,1.3,16.2,6.6,0
4,"SWANN I. (SG)
ratiopharm ulm",34,27:25:00,15.2,2.1,4.2,50.70%,2.5,6.9,36.40%,4.6,11.1,41.80%,3.4,4,83.90%,0.4,2.4,2.8,2.8,0.7,2.5,0,2.4,12,5.2,1
6,"ENSMINGER C. (C)
Telekom Baskets Bonn",34,28:30:00,14.8,5.4,9.5,57.30%,0,0,0.00%,5.4,9.5,57.30%,3.9,5.2,75.30%,2.5,5.1,7.6,1.4,0.4,1.7,0.2,2.9,17.4,5.4,2
7,"JONUSAS Z. (SF)
Phoenix Hagen",33,31:05:00,14.8,2.7,4.9,54.90%,2.2,5.6,39.80%,4.9,10.5,46.80%,2.7,3.8,71.20%,1,3.7,4.7,1.7,0.7,1.7,0.2,3.3,13.7,-4.8,0
135,"LEUER J. (PF)
FRAPORT SKYLINERS",10,32:12:00,14.8,5.3,10.7,49.50%,0.6,2.1,28.60%,5.9,12.8,46.10%,2.4,3.7,64.90%,1.6,6.2,7.8,1.1,0.8,3.1,0.7,2.1,13.9,-3.5,4
9,"PEAVY N. (PF)
Artland Dragons",32,27:35:00,14.6,3.5,6,58.30%,1.2,2.6,45.20%,4.7,8.6,54.40%,4.1,5.4,75.10%,1.3,5,6.3,1.8,0.5,2.1,0.4,2.6,16.2,7.4,6
8,"BRYANT J. (C)
ratiopharm ulm",33,26:15:00,14.5,5.7,9.7,58.30%,0.1,0.2,42.90%,5.8,9.9,57.90%,2.8,3.7,76.40%,2,7.4,9.4,1.4,0.5,1.6,1.2,2.8,20.2,6.9,0
10,"CARTER M. (SF)
Phoenix Hagen",32,32:15:00,14.5,3.8,7.7,49.20%,1.2,4.3,28.50%,5,12,41.80%,3.3,3.8,85.40%,1,3.3,4.3,2.5,1.3,2.2,0.3,2.9,13.2,-6.9,4
124,"JEFFERS M. (SF)
LTi GIESSEN 46ers",12,28:44:00,14.4,3.8,6.2,60.80%,0.4,2.3,17.90%,4.2,8.5,49.00%,5.7,6.6,86.10%,0.7,3.5,4.2,2.3,0.6,1.9,0,2.1,14.3,-2.2,1
41,"HOMAN J. (C)
FC Bayern München",25,28:28:00,14.1,5.6,11.9,47.30%,0,0,0.00%,5.6,11.9,47.30%,2.8,5.5,51.10%,1.9,5.5,7.4,1.8,0.8,2.5,1.4,2.8,14.1,5.2,5
19,"TROUTMAN C. (PF)
FC Bayern München",30,25:27:00,13.8,4.7,7.2,65.10%,0.5,1.2,37.80%,5.1,8.4,61.10%,3.1,4.2,73.20%,2.5,4.5,7,1.2,0.9,1.7,0.2,3.1,17.1,4.8,4
16,"VEIKALAS B. (SG)
Telekom Baskets Bonn",32,27:11:00,13.4,3,5,59.60%,1.8,4.5,38.60%,4.8,9.6,49.70%,2.2,2.5,87.50%,0.7,2.8,3.4,1.8,0.7,1.3,0.1,2.2,12.9,2.5,0
11,"STEWART B. (SG)
LTi GIESSEN 46ers",34,31:12:00,13.3,2.3,5.3,43.90%,2,5,40.60%,4.4,10.3,42.30%,2.6,3.2,80.70%,0.6,3,3.6,1.5,1.2,1.2,0.1,2.7,11.9,-6.7,0
