pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
145,"MAJSTOROVIC M. (PF)
EWE Baskets Oldenburg",31,527:15:00,181,43,74,58.10%,23,74,31.10%,66,148,44.60%,26,44,59.10%,69,34,103,23,6,21,22,68,214,39,0
110,"BURTSCHI J. (SF)
FRAPORT SKYLINERS",22,669:44:00,180,29,58,50.00%,29,80,36.30%,58,138,42.00%,35,40,87.50%,74,25,99,30,23,26,2,51,223,59,0
147,"NADJFEJI A. (PF)
FC Bayern München",30,474:20:00,175,68,123,55.30%,0,6,0.00%,68,129,52.70%,39,67,58.20%,67,24,91,36,9,33,5,73,194,30,1
151,"GREENE D. (SG)
FC Bayern München",34,758:02:00,175,26,52,50.00%,31,66,47.00%,57,118,48.30%,30,35,85.70%,55,4,59,33,14,22,1,75,194,99,0
144,"OHLBRECHT T. (C)
FRAPORT SKYLINERS",29,471:22:00,174,61,117,52.10%,0,2,0.00%,61,119,51.30%,52,70,74.30%,72,43,115,9,6,39,15,74,204,19,2
14,"JEFFERS M. (SF)
LTi GIESSEN 46ers",12,344:50:00,173,45,74,60.80%,5,28,17.90%,50,102,49.00%,68,79,86.10%,42,8,50,28,7,23,0,25,172,-26,0
141,"PREWITT C. (PF)
LTi GIESSEN 46ers",27,546:24:00,166,19,50,38.00%,35,88,39.80%,54,138,39.10%,23,30,76.70%,44,20,64,22,17,17,1,86,162,-73,0
152,"JAGLA J. (PF)
FC Bayern München",32,380:48:00,164,46,87,52.90%,18,72,25.00%,64,159,40.30%,18,29,62.10%,51,40,91,17,5,12,11,56,170,-40,0
77,"GREEN J. (PG)
EnBW Ludwigsburg",17,436:39:00,163,55,112,49.10%,3,22,13.60%,58,134,43.30%,44,51,86.30%,18,9,27,44,9,34,1,34,127,-12,0
155,"HERBER J. (SG)
FRAPORT SKYLINERS",33,674:39:00,160,19,60,31.70%,33,87,37.90%,52,147,35.40%,23,40,57.50%,53,15,68,44,10,38,1,75,133,12,0
33,"HOWARD M. (PF)
EnBW Ludwigsburg",13,336:48:00,157,44,73,60.30%,8,22,36.40%,52,95,54.70%,45,54,83.30%,54,21,75,29,8,19,2,35,200,50,1
150,"SIMON N. (PG)
WALTER Tigers Tübingen",29,418:33:00,156,23,48,47.90%,26,50,52.00%,49,98,50.00%,32,43,74.40%,23,11,34,19,5,13,1,72,142,3,0
158,"SEIFERTH A. (C)
TBB Trier",34,368:42:00,156,60,94,63.80%,0,0,0.00%,60,94,63.80%,36,56,64.30%,39,33,72,4,6,29,4,81,159,-109,0
156,"MITTMANN N. (SF)
New Yorker Phantoms Braunschweig",32,543:53:00,155,19,37,51.40%,31,68,45.60%,50,105,47.60%,24,38,63.20%,74,14,88,20,15,12,3,51,200,-12,0
102,"GIBSON D. (PG)
FRAPORT SKYLINERS",18,406:16:00,152,39,92,42.40%,5,20,25.00%,44,112,39.30%,59,81,72.80%,35,14,49,48,25,30,4,49,158,31,0
104,"DENNIS S. (PG)
New Yorker Phantoms Braunschweig",18,397:54:00,151,46,102,45.10%,7,23,30.40%,53,125,42.40%,38,52,73.10%,40,9,49,45,15,32,3,44,145,-23,0
10,"LEUER J. (PF)
FRAPORT SKYLINERS",10,322:01:00,148,53,107,49.50%,6,21,28.60%,59,128,46.10%,24,37,64.90%,62,16,78,11,8,31,7,21,139,-35,2
73,"FISHER A. (PG)
EnBW Ludwigsburg",15,307:26:00,147,28,60,46.70%,22,53,41.50%,50,113,44.30%,25,41,61.00%,25,3,28,23,7,21,1,36,106,-40,0
