pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
1,"ADAMS D. (PG)
Eisbären Bremerhaven",34,1077:13:00,613,131,263,49.80%,81,200,40.50%,212,463,45.80%,108,126,85.70%,117,22,139,136,60,128,5,95,556,39,3
2,"SWANN I. (SG)
New Yorker Phantoms Braunschweig",34,1096:53:00,610,93,191,48.70%,90,256,35.20%,183,447,40.90%,154,175,88.00%,127,14,141,115,34,105,2,94,512,-69,0
5,"BELL D. (PG)
Phoenix Hagen",34,1055:23:00,549,47,152,30.90%,93,236,39.40%,140,388,36.10%,176,197,89.30%,89,3,92,84,24,74,2,104,408,-50,0
6,"GORDON L. (SF)
Phoenix Hagen",34,1135:51:00,528,135,261,51.70%,49,133,36.80%,184,394,46.70%,111,124,89.50%,159,99,258,56,37,101,8,83,563,-126,7
4,"GRANT K. (SG)
MHP RIESEN Ludwigsburg",32,975:47:00,518,129,252,51.20%,44,125,35.20%,173,377,45.90%,128,168,76.20%,95,22,117,55,47,70,14,90,437,64,0
9,"WILLIAMS R. (PG)
RASTA Vechta",34,1132:57:00,498,128,278,46.00%,44,150,29.30%,172,428,40.20%,110,133,82.70%,123,36,159,148,64,94,2,80,498,-158,3
11,"WEEMS K. (SF)
medi bayreuth",34,1105:00:00,495,143,272,52.60%,52,155,33.60%,195,427,45.70%,53,63,84.10%,149,40,189,55,32,46,20,88,503,-81,1
12,"BROOKS R. (SG)
Telekom Baskets Bonn",34,908:39:00,490,132,255,51.80%,46,116,39.70%,178,371,48.00%,88,104,84.60%,71,20,91,67,29,48,6,53,426,70,0
13,"CALOIARO A. (PF)
Mitteldeutscher BC",34,1063:00:00,487,111,190,58.40%,48,139,34.50%,159,329,48.30%,121,158,76.60%,177,55,232,76,36,45,7,62,586,-25,4
7,"JENKINS J. (SG)
EWE Baskets Oldenburg",32,798:39:00,477,77,160,48.10%,80,162,49.40%,157,322,48.80%,83,106,78.30%,60,22,82,59,25,49,2,61,408,100,0
15,"PAULDING R. (SF)
EWE Baskets Oldenburg",34,948:50:00,474,81,163,49.70%,76,173,43.90%,157,336,46.70%,84,105,80.00%,94,39,133,75,29,54,11,57,468,113,0
8,"HUGHES T. (SG)
TBB Trier",31,948:29:00,462,97,226,42.90%,58,177,32.80%,155,403,38.50%,94,127,74.00%,89,32,121,111,68,67,1,98,415,-6,0
19,"VEIKALAS B. (SG)
Telekom Baskets Bonn",34,944:25:00,458,67,140,47.90%,74,175,42.30%,141,315,44.80%,102,121,84.30%,63,18,81,58,32,56,7,73,387,-4,0
17,"MCLEAN J. (PF)
Telekom Baskets Bonn",33,899:06:00,452,144,241,59.80%,4,16,25.00%,148,257,57.60%,152,218,69.70%,151,87,238,39,30,63,20,94,541,16,6
24,"QVALE B. (C)
medi bayreuth",34,912:00:00,445,184,315,58.40%,0,2,0.00%,184,317,58.00%,77,122,63.10%,126,78,204,36,23,65,45,94,510,16,5
23,"VISSER K. (C)
New Yorker Phantoms Braunschweig",33,865:52:00,435,182,291,62.50%,0,4,0.00%,182,295,61.70%,71,101,70.30%,99,84,183,32,22,61,23,108,491,-40,2
32,"REDDING R. (SF)
ALBA BERLIN",34,905:39:00,422,119,208,57.20%,29,80,36.30%,148,288,51.40%,97,114,85.10%,109,36,145,116,34,73,11,85,498,279,0
35,"DORRIS M. (SG)
Phoenix Hagen",34,804:39:00,416,123,325,37.80%,16,61,26.20%,139,386,36.00%,122,144,84.70%,79,25,104,78,40,77,5,105,297,-74,0
20,"LOGAN D. (PG)
ALBA BERLIN",30,760:39:00,403,66,129,51.20%,72,187,38.50%,138,316,43.70%,55,67,82.10%,65,14,79,81,22,46,2,44,351,243,0
27,"FLORENCE J. (PG)
New Yorker Phantoms Braunschweig",32,1000:02:00,402,87,183,47.50%,56,170,32.90%,143,353,40.50%,60,75,80.00%,63,12,75,106,40,81,6,97,323,-32,0
28,"KING A. (C)
Artland Dragons",32,820:49:00,401,143,283,50.50%,4,9,44.40%,147,292,50.30%,103,128,80.50%,135,71,206,52,27,42,28,59,502,100,6
30,"GAVEL A. (SG)
Brose Baskets",32,936:11:00,398,78,151,51.70%,48,121,39.70%,126,272,46.30%,98,122,80.30%,72,14,86,117,31,53,0,76,409,281,0
10,"WALLACE J. (PG)
WALTER Tigers Tübingen",27,756:56:00,395,40,89,44.90%,77,186,41.40%,117,275,42.60%,84,88,95.50%,43,9,52,84,25,49,1,57,346,-117,0
40,"MäDRICH D. (C)
RASTA Vechta",34,799:51:00,395,91,201,45.30%,48,123,39.00%,139,324,42.90%,69,98,70.40%,92,68,160,31,17,55,13,108,347,-203,2
43,"STOCKTON M. (PG)
MHP RIESEN Ludwigsburg",34,1048:24:00,391,111,222,50.00%,27,84,32.10%,138,306,45.10%,88,114,77.20%,87,25,112,117,29,69,5,117,391,69,2
16,"PARKER A. (PG)
Mitteldeutscher BC",28,759:53:00,385,62,147,42.20%,61,163,37.40%,123,310,39.70%,78,106,73.60%,40,22,62,52,21,56,1,46,250,-85,0
47,"BARTHEL D. (PF)
FRAPORT SKYLINERS",34,955:15:00,384,112,195,57.40%,23,74,31.10%,135,269,50.20%,91,116,78.50%,130,35,165,49,22,62,26,89,425,-40,1
41,"HILL L. (PF)
Artland Dragons",33,888:08:00,383,87,166,52.40%,56,113,49.60%,143,279,51.30%,41,62,66.10%,155,62,217,44,25,45,32,67,499,36,2
48,"BURRELL R. (PF)
medi bayreuth",34,847:57:00,382,127,258,49.20%,18,61,29.50%,145,319,45.50%,74,105,70.50%,121,42,163,57,31,70,12,127,370,-72,1
50,"ALLEN D. (PF)
Eisbären Bremerhaven",34,985:48:00,377,144,297,48.50%,0,0,0.00%,144,297,48.50%,89,128,69.50%,88,76,164,48,16,63,3,61,353,-64,0
52,"GüNTHER P. (PG)
ratiopharm ulm",34,817:03:00,373,65,136,47.80%,58,143,40.60%,123,279,44.10%,69,83,83.10%,40,5,45,154,14,82,0,41,334,110,0
37,"SEIFERTH A. (C)
TBB Trier",31,751:11:00,367,149,256,58.20%,0,4,0.00%,149,260,57.30%,69,106,65.10%,88,65,153,26,15,79,10,104,344,-114,2
49,"HOLSTON D. (PG)
Artland Dragons",33,901:01:00,367,63,132,47.70%,56,166,33.70%,119,298,39.90%,73,87,83.90%,72,16,88,152,46,80,2,92,382,49,0
39,"DUGAT H. (PG)
Phoenix Hagen",31,672:47:00,362,105,236,44.50%,26,82,31.70%,131,318,41.20%,74,89,83.20%,71,11,82,63,37,62,2,69,282,-33,0
53,"MCELROY I. (SF)
New Yorker Phantoms Braunschweig",33,1069:11:00,361,101,180,56.10%,26,82,31.70%,127,262,48.50%,81,105,77.10%,85,40,125,104,23,53,1,66,402,-121,0
36,"THOMAS B. (SF)
Artland Dragons",30,889:17:00,358,88,137,64.20%,42,144,29.20%,130,281,46.30%,56,85,65.90%,91,27,118,66,26,51,5,52,342,69,0
60,"ANDERSON J. (PG)
TBB Trier",34,1069:30:00,356,68,175,38.90%,42,110,38.20%,110,285,38.60%,94,97,96.90%,87,21,108,87,19,62,0,71,330,-199,0
62,"KRAMER C. (SG)
EWE Baskets Oldenburg",34,965:49:00,353,95,177,53.70%,20,70,28.60%,115,247,46.60%,103,138,74.60%,112,34,146,113,62,70,17,96,454,138,0
38,"LONG C. (SG)
ratiopharm ulm",30,798:24:00,351,73,153,47.70%,35,108,32.40%,108,261,41.40%,100,130,76.90%,59,16,75,76,22,47,1,39,295,66,0
58,"NASH T. (PF)
WALTER Tigers Tübingen",33,947:31:00,347,95,190,50.00%,22,72,30.60%,117,262,44.70%,91,133,68.40%,134,46,180,64,38,46,15,86,411,-139,2
